Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
16,0.0,92.8,0.0,21296.0,134.242,25591023,13.62962031364441,merged_training_metrics.csv
17,0.0,93.1,0.0,21296.0,135.688,25661090,13.678902864456177,merged_training_metrics.csv
18,0.0,93.2,0.0,21296.0,135.258,25740117,13.568800687789915,merged_training_metrics.csv
19,0.0,93.4,0.0,21296.0,135.524,25806531,13.58745288848877,merged_training_metrics.csv
20,0.2,93.6,0.0,21296.0,134.209,25867791,13.885470628738403,merged_training_metrics.csv
1,0.0,94.1,0.0,21300.0,129.291,25997717,76.9975471496582,merged_training_metrics.csv
2,0.0,93.6,0.0,21300.0,130.157,26057895,13.59842324256897,merged_training_metrics.csv
3,0.0,93.6,0.0,21300.0,130.003,26119519,13.69025731086731,merged_training_metrics.csv
4,0.0,93.1,0.0,21300.0,131.683,26181741,13.781691074371338,merged_training_metrics.csv
5,0.5,93.4,0.0,21300.0,134.034,26242489,13.710203886032104,merged_training_metrics.csv
6,0.0,93.6,0.0,21300.0,134.027,26302832,13.804860353469849,merged_training_metrics.csv
7,0.2,93.7,0.0,21300.0,134.559,26365999,13.553356170654297,merged_training_metrics.csv
8,0.2,93.9,0.0,21300.0,135.485,26427647,13.639439105987549,merged_training_metrics.csv
9,0.0,94.2,0.0,21300.0,135.79500000000002,26488821,13.7505202293396,merged_training_metrics.csv
10,0.0,94.5,0.0,21300.0,131.961,26548671,13.897596836090088,merged_training_metrics.csv
11,0.2,94.6,0.0,21300.0,134.998,26609919,13.971145868301392,merged_training_metrics.csv
12,0.0,94.7,0.0,21300.0,136.449,26672507,13.684403657913208,merged_training_metrics.csv
13,0.2,94.8,0.0,21300.0,133.751,26736969,13.596350193023682,merged_training_metrics.csv
14,0.0,94.9,0.0,21300.0,132.238,26799203,13.749746084213257,merged_training_metrics.csv
15,0.0,94.8,0.0,21300.0,136.757,26862059,13.826620817184448,merged_training_metrics.csv
16,0.2,93.2,0.0,21300.0,136.041,26923037,13.665446043014526,merged_training_metrics.csv
17,0.0,93.4,0.0,21300.0,138.126,26984923,13.54495334625244,merged_training_metrics.csv
18,0.0,93.6,0.0,21300.0,134.217,27044607,13.64814567565918,merged_training_metrics.csv
19,0.0,93.9,0.0,21300.0,135.079,27106697,13.839383602142334,merged_training_metrics.csv
20,0.0,94.0,0.0,21300.0,136.062,27168205,13.813996076583862,merged_training_metrics.csv
21,0.0,94.4,0.0,21300.0,134.377,27229537,13.875114440917969,merged_training_metrics.csv
22,0.2,94.6,0.0,21300.0,133.285,27291406,13.8609459400177,merged_training_metrics.csv
23,0.0,94.8,0.0,21300.0,134.625,27354206,13.677088975906372,merged_training_metrics.csv
24,0.0,94.8,0.0,21300.0,133.606,27415977,13.895100355148315,merged_training_metrics.csv
25,0.0,95.0,0.0,21300.0,133.953,27477891,13.81138825416565,merged_training_metrics.csv
26,0.0,94.7,0.0,21300.0,138.137,27539619,13.672352075576782,merged_training_metrics.csv
27,0.0,94.9,0.0,21300.0,134.36700000000002,27599659,13.659680843353271,merged_training_metrics.csv
28,0.0,94.2,0.0,21300.0,138.539,27660789,13.834842205047607,merged_training_metrics.csv
29,0.0,92.5,0.0,21300.0,136.675,27722752,13.74516463279724,merged_training_metrics.csv
30,0.0,92.8,0.0,21300.0,137.378,27784204,13.62410569190979,merged_training_metrics.csv
1,0.0,61.5,0.0,21276.0,109.122,8831884,82.04985690116882,training_metrics_batch32_lr0.0005_epochs10.csv
2,0.0,61.0,0.0,21276.0,130.777,8953040,25.435177087783813,training_metrics_batch32_lr0.0005_epochs10.csv
3,0.0,61.1,0.0,21276.0,115.049,9078131,25.502220153808597,training_metrics_batch32_lr0.0005_epochs10.csv
4,0.0,61.3,0.0,21276.0,131.052,9200736,25.310583114624023,training_metrics_batch32_lr0.0005_epochs10.csv
5,0.0,61.4,0.0,21276.0,130.768,9322094,25.412192344665527,training_metrics_batch32_lr0.0005_epochs10.csv
6,0.2,61.4,0.0,21276.0,131.438,9443450,25.320773601531982,training_metrics_batch32_lr0.0005_epochs10.csv
7,0.0,61.4,0.0,21276.0,116.086,9566784,25.364636421203613,training_metrics_batch32_lr0.0005_epochs10.csv
8,0.0,61.5,0.0,21276.0,131.99599999999998,9688479,25.37991690635681,training_metrics_batch32_lr0.0005_epochs10.csv
9,0.0,61.6,0.0,21276.0,132.959,9837294,25.59253716468811,training_metrics_batch32_lr0.0005_epochs10.csv
10,0.0,61.7,0.0,21276.0,132.086,9961490,25.444674253463745,training_metrics_batch32_lr0.0005_epochs10.csv
1,0.0,66.1,0.0,21278.0,109.738,10139551,81.99463367462158,training_metrics_batch32_lr0.0005_epochs20.csv
2,0.0,66.0,0.0,21278.0,129.584,10261777,25.25814199447632,training_metrics_batch32_lr0.0005_epochs20.csv
3,0.0,66.1,0.0,21278.0,115.174,10388089,25.309566974639893,training_metrics_batch32_lr0.0005_epochs20.csv
