Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
13,0.0,68.5,0.0,21384.0,148.663,3422125955,4.83524227142334,training_metrics_batch128_lr0.01_epochs30.csv
14,0.0,67.4,0.0,21384.0,148.532,3422141835,4.8618483543396,training_metrics_batch128_lr0.01_epochs30.csv
15,0.0,67.7,0.0,21384.0,148.955,3422158855,4.783600091934204,training_metrics_batch128_lr0.01_epochs30.csv
16,0.0,67.9,0.0,21384.0,148.327,3422174889,4.768644094467163,training_metrics_batch128_lr0.01_epochs30.csv
17,0.1,68.0,0.0,21384.0,148.029,3422191177,4.890547037124634,training_metrics_batch128_lr0.01_epochs30.csv
18,0.1,68.1,0.0,21384.0,150.664,3422207195,4.793232679367065,training_metrics_batch128_lr0.01_epochs30.csv
19,0.0,68.1,0.0,21384.0,149.77100000000002,3422223423,4.786025762557983,training_metrics_batch128_lr0.01_epochs30.csv
20,0.0,68.0,0.0,21384.0,147.637,3422239119,4.885404109954834,training_metrics_batch128_lr0.01_epochs30.csv
21,0.0,68.0,0.0,21384.0,148.017,3422254875,4.765135288238525,training_metrics_batch128_lr0.01_epochs30.csv
22,0.0,68.2,0.0,21384.0,148.419,3422271168,4.858413696289063,training_metrics_batch128_lr0.01_epochs30.csv
23,0.0,68.2,0.0,21384.0,149.46,3422287212,4.8045971393585205,training_metrics_batch128_lr0.01_epochs30.csv
24,0.1,68.4,0.0,21384.0,148.037,3422303302,4.801944017410278,training_metrics_batch128_lr0.01_epochs30.csv
25,0.0,68.5,0.0,21384.0,149.901,3422319042,4.737944602966309,training_metrics_batch128_lr0.01_epochs30.csv
26,0.1,68.5,0.0,21384.0,149.49200000000002,3422335519,4.821242332458496,training_metrics_batch128_lr0.01_epochs30.csv
27,0.1,67.4,0.0,21384.0,149.351,3422351321,4.864523649215698,training_metrics_batch128_lr0.01_epochs30.csv
28,0.0,67.8,0.0,21384.0,149.339,3422366975,4.773944616317749,training_metrics_batch128_lr0.01_epochs30.csv
29,0.0,68.0,0.0,21384.0,148.352,3422383209,4.861106157302856,training_metrics_batch128_lr0.01_epochs30.csv
30,0.0,68.1,0.0,21384.0,149.515,3422399593,4.832953929901123,training_metrics_batch128_lr0.01_epochs30.csv
1,0.0,26.6,0.0,21318.0,130.3,205325868,70.30816769599915,training_metrics_batch32_lr0.0005_epochs10.csv
2,0.0,26.3,0.0,21318.0,137.242,205386964,14.668117761611938,training_metrics_batch32_lr0.0005_epochs10.csv
3,0.0,26.2,0.0,21318.0,135.223,205455447,14.809407234191896,training_metrics_batch32_lr0.0005_epochs10.csv
4,0.1,26.3,0.0,21318.0,139.098,205518925,14.404952049255373,training_metrics_batch32_lr0.0005_epochs10.csv
5,0.0,26.0,0.0,21318.0,136.19299999999998,205579247,14.706955432891846,training_metrics_batch32_lr0.0005_epochs10.csv
6,0.0,26.1,0.0,21318.0,137.18,205638779,14.546162843704224,training_metrics_batch32_lr0.0005_epochs10.csv
7,0.0,26.1,0.0,21318.0,139.648,205698123,14.37916350364685,training_metrics_batch32_lr0.0005_epochs10.csv
8,0.0,26.2,0.0,21318.0,140.661,205758124,14.461111545562744,training_metrics_batch32_lr0.0005_epochs10.csv
9,0.0,26.1,0.0,21318.0,141.128,205817679,14.597570896148682,training_metrics_batch32_lr0.0005_epochs10.csv
10,0.1,26.1,0.0,21318.0,140.296,205876853,14.502901077270508,training_metrics_batch32_lr0.0005_epochs10.csv
1,0.0,28.4,0.0,21322.0,130.848,205959368,70.81755018234253,training_metrics_batch32_lr0.0005_epochs20.csv
2,0.0,28.1,0.0,21322.0,137.699,206018014,14.60642147064209,training_metrics_batch32_lr0.0005_epochs20.csv
3,0.0,28.0,0.0,21322.0,137.04500000000002,206077567,14.4664306640625,training_metrics_batch32_lr0.0005_epochs20.csv
4,0.0,28.0,0.0,21322.0,136.663,206137017,14.786092281341553,training_metrics_batch32_lr0.0005_epochs20.csv
5,0.1,28.0,0.0,21322.0,137.735,206195635,14.652229070663452,training_metrics_batch32_lr0.0005_epochs20.csv
6,0.0,27.7,0.0,21322.0,137.603,206254033,14.687394618988035,training_metrics_batch32_lr0.0005_epochs20.csv
7,0.0,27.8,0.0,21322.0,138.58,206313025,14.61258339881897,training_metrics_batch32_lr0.0005_epochs20.csv
8,0.0,27.9,0.0,21322.0,137.459,206372428,14.696245431900024,training_metrics_batch32_lr0.0005_epochs20.csv
9,0.0,27.9,0.0,21322.0,140.399,206434500,14.49374270439148,training_metrics_batch32_lr0.0005_epochs20.csv
10,0.0,27.9,0.0,21322.0,139.638,206493260,14.855594396591188,training_metrics_batch32_lr0.0005_epochs20.csv
11,0.0,27.9,0.0,21322.0,137.783,206552525,14.648125410079956,training_metrics_batch32_lr0.0005_epochs20.csv
12,0.0,28.0,0.0,21322.0,133.836,206614225,14.756966352462769,training_metrics_batch32_lr0.0005_epochs20.csv
13,0.2,27.9,0.0,21322.0,139.647,206673233,14.534704446792604,training_metrics_batch32_lr0.0005_epochs20.csv
14,0.1,28.0,0.0,21322.0,139.607,206732364,14.55477261543274,training_metrics_batch32_lr0.0005_epochs20.csv
15,0.0,28.0,0.0,21322.0,136.62099999999998,206791210,14.79692792892456,training_metrics_batch32_lr0.0005_epochs20.csv
16,0.1,28.0,0.0,21322.0,138.505,206850010,14.666977167129517,training_metrics_batch32_lr0.0005_epochs20.csv
17,0.0,28.0,0.0,21322.0,137.216,206909150,14.705011367797852,training_metrics_batch32_lr0.0005_epochs20.csv
18,0.0,28.0,0.0,21322.0,139.511,206973272,14.68277907371521,training_metrics_batch32_lr0.0005_epochs20.csv
19,0.0,27.8,0.0,21322.0,140.383,207032367,14.669150829315186,training_metrics_batch32_lr0.0005_epochs20.csv
20,0.0,27.9,0.0,21322.0,138.985,207091877,14.758387327194214,training_metrics_batch32_lr0.0005_epochs20.csv
1,0.0,30.1,0.0,21324.0,131.105,207175568,72.48428273200989,training_metrics_batch32_lr0.0005_epochs30.csv
2,0.0,29.8,0.0,21324.0,136.061,207234158,14.577227354049684,training_metrics_batch32_lr0.0005_epochs30.csv
3,0.0,29.7,0.0,21324.0,136.728,207298130,14.783767938613892,training_metrics_batch32_lr0.0005_epochs30.csv
4,0.0,29.7,0.0,21324.0,134.989,207362784,14.700009107589722,training_metrics_batch32_lr0.0005_epochs30.csv
5,0.1,29.7,0.0,21324.0,137.14499999999998,207425462,14.713009595870972,training_metrics_batch32_lr0.0005_epochs30.csv
6,0.0,29.8,0.0,21324.0,136.051,207491861,14.64618754386902,training_metrics_batch32_lr0.0005_epochs30.csv
7,0.2,29.8,0.0,21324.0,138.097,207555537,14.76028060913086,training_metrics_batch32_lr0.0005_epochs30.csv
8,0.1,29.8,0.0,21324.0,140.185,207614589,14.5954692363739,training_metrics_batch32_lr0.0005_epochs30.csv
